,qzGroup,Key_word,E,I,T,F,MBTI_result
53,5060,"['능동적', '유연성', '창의적', '목표지향성', '개방성', '열성적', '추상적', '현실적']",2,0,0,0,err
54,5061,"['능동적', '계획적', '열성적', '감성적', '경험적', '구체적', '현실적', '논리적']",2,0,1,1,err
55,5061,"['능동적', '계획적', '열성적', '감성적', '경험적', '구체적', '현실적', '논리적']",2,0,1,1,err
56,5061,"['능동적', '계획적', '열성적', '감성적', '경험적', '구체적', '현실적', '논리적']",2,0,1,1,err
57,5062,"['창의적', '능동적', '표현적', '정서적', '유연성', '열성적', '허용적', '추상적']",3,0,0,2,EF
58,5062,"['창의적', '능동적', '표현적', '정서적', '유연성', '열성적', '허용적', '추상적']",3,0,0,2,EF
59,5062,"['창의적', '능동적', '표현적', '정서적', '유연성', '열성적', '허용적', '추상적']",3,0,0,2,EF
60,5064,"['정적', '이성적', '비평적', '유연성', '행동안정성', '표현적', '구체적', '창의적']",1,1,2,0,err
61,5064,"['정적', '이성적', '비평적', '유연성', '행동안정성', '표현적', '구체적', '창의적']",1,1,2,0,err
62,5064,"['정적', '이성적', '비평적', '유연성', '행동안정성', '표현적', '구체적', '창의적']",1,1,2,0,err
63,5077,"['현실적', '보유적', '경험적', '논리적', '이성적', '비평적', '체계적', '계획적']",0,1,3,0,IT
64,5077,"['현실적', '보유적', '경험적', '논리적', '이성적', '비평적', '체계적', '계획적']",0,1,3,0,IT
65,5077,"['현실적', '보유적', '경험적', '논리적', '이성적', '비평적', '체계적', '계획적']",0,1,3,0,IT
66,5099,"['열성적', '경험적', '목표지향성', '능동적', '현실적', '비평적', '구체적', '체계적']",2,0,1,0,ET
67,5099,"['열성적', '경험적', '목표지향성', '능동적', '현실적', '비평적', '구체적', '체계적']",2,0,1,0,ET
68,5099,"['열성적', '경험적', '목표지향성', '능동적', '현실적', '비평적', '구체적', '체계적']",2,0,1,0,ET
69,5100,"['목표지향성', '구체적', '이성적', '현실적', '논리적', '계획적', '능동적', '표현적']",2,0,2,0,ET
70,5100,"['목표지향성', '구체적', '이성적', '현실적', '논리적', '계획적', '능동적', '표현적']",2,0,2,0,ET
71,5100,"['목표지향성', '구체적', '이성적', '현실적', '논리적', '계획적', '능동적', '표현적']",2,0,2,0,ET
72,5101,"['경험적', '비평적', '능동적', '구체적', '자발성', '열성적', '현실적', '논리적']",2,0,2,0,ET
73,5101,"['경험적', '비평적', '능동적', '구체적', '자발성', '열성적', '현실적', '논리적']",2,0,2,0,ET
74,5101,"['경험적', '비평적', '능동적', '구체적', '자발성', '열성적', '현실적', '논리적']",2,0,2,0,ET
75,5102,"['창의적', '개방성', '경험적', '감성적', '유연성', '능동적', '표현적', '열성적']",3,0,0,1,EF
76,5102,"['창의적', '개방성', '경험적', '감성적', '유연성', '능동적', '표현적', '열성적']",3,0,0,1,EF
77,5102,"['창의적', '개방성', '경험적', '감성적', '유연성', '능동적', '표현적', '열성적']",3,0,0,1,EF
78,5103,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
79,5103,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
80,5103,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
81,5104,"['능동적', '구체적', '논리적', '비평적', '열성적', '현실적', '경험적', '목표지향성']",2,0,2,0,ET
82,5104,"['능동적', '구체적', '논리적', '비평적', '열성적', '현실적', '경험적', '목표지향성']",2,0,2,0,ET
83,5104,"['능동적', '구체적', '논리적', '비평적', '열성적', '현실적', '경험적', '목표지향성']",2,0,2,0,ET
84,5105,"['계획적', '논리적', '목표지향성', '능동적', '현실적', '비평적', '열성적', '구체적']",2,0,2,0,ET
85,5105,"['계획적', '논리적', '목표지향성', '능동적', '현실적', '비평적', '열성적', '구체적']",2,0,2,0,ET
86,5105,"['계획적', '논리적', '목표지향성', '능동적', '현실적', '비평적', '열성적', '구체적']",2,0,2,0,ET
87,5126,"['현실적', '허용적', '유연성', '자발성', '정적', '경험적', '개방성', '추상적']",0,1,0,1,IF
88,5126,"['현실적', '허용적', '유연성', '자발성', '정적', '경험적', '개방성', '추상적']",0,1,0,1,IF
89,5126,"['현실적', '허용적', '유연성', '자발성', '정적', '경험적', '개방성', '추상적']",0,1,0,1,IF
90,5127,"['정서적', '추상적', '경험적', '구체적', '감성적', '허용적', '목표지향성', '열성적']",1,0,0,3,EF
91,5127,"['정서적', '추상적', '경험적', '구체적', '감성적', '허용적', '목표지향성', '열성적']",1,0,0,3,EF
92,5127,"['정서적', '추상적', '경험적', '구체적', '감성적', '허용적', '목표지향성', '열성적']",1,0,0,3,EF
93,5128,"['비평적', '표현적', '정적', '추상적', '감성적', '행동안정성', '현실적', '창의적']",1,1,1,1,err
94,5128,"['비평적', '표현적', '정적', '추상적', '감성적', '행동안정성', '현실적', '창의적']",1,1,1,1,err
95,5128,"['비평적', '표현적', '정적', '추상적', '감성적', '행동안정성', '현실적', '창의적']",1,1,1,1,err
96,5130,"['보유적', '정적', '추상적', '목표지향성', '자발성', '행동안정성', '논리적', '감성적']",0,2,1,1,err
97,5130,"['보유적', '정적', '추상적', '목표지향성', '자발성', '행동안정성', '논리적', '감성적']",0,2,1,1,err
98,5130,"['보유적', '정적', '추상적', '목표지향성', '자발성', '행동안정성', '논리적', '감성적']",0,2,1,1,err
99,5131,"['구체적', '경험적', '체계적', '능동적', '표현적', '정적', '비평적', '계획적']",2,1,1,0,ET
100,5131,"['구체적', '경험적', '체계적', '능동적', '표현적', '정적', '비평적', '계획적']",2,1,1,0,ET
101,5131,"['구체적', '경험적', '체계적', '능동적', '표현적', '정적', '비평적', '계획적']",2,1,1,0,ET
102,5133,"['능동적', '창의적', '유연성', '열성적', '추상적', '이상적', '감성적', '표현적']",3,0,0,1,EF
103,5133,"['능동적', '창의적', '유연성', '열성적', '추상적', '이상적', '감성적', '표현적']",3,0,0,1,EF
104,5133,"['능동적', '창의적', '유연성', '열성적', '추상적', '이상적', '감성적', '표현적']",3,0,0,1,EF
105,5148,"['열성적', '창의적', '감성적', '유연성', '행동안정성', '표현적', '이성적', '구체적']",2,0,1,1,err
106,5148,"['열성적', '창의적', '감성적', '유연성', '행동안정성', '표현적', '이성적', '구체적']",2,0,1,1,err
107,5148,"['열성적', '창의적', '감성적', '유연성', '행동안정성', '표현적', '이성적', '구체적']",2,0,1,1,err
108,5211,"['현실적', '보유적', '경험적', '능동적', '이성적', '비평적', '논리적', '체계적']",1,1,3,0,err
109,5211,"['현실적', '보유적', '경험적', '능동적', '이성적', '비평적', '논리적', '체계적']",1,1,3,0,err
110,5211,"['현실적', '보유적', '경험적', '능동적', '이성적', '비평적', '논리적', '체계적']",1,1,3,0,err
111,5212,"['추상적', '현실적', '허용적', '이상적', '창의적', '정서적', '유연성', '개방성']",0,0,0,2,err
112,5212,"['추상적', '현실적', '허용적', '이상적', '창의적', '정서적', '유연성', '개방성']",0,0,0,2,err
113,5212,"['추상적', '현실적', '허용적', '이상적', '창의적', '정서적', '유연성', '개방성']",0,0,0,2,err
114,5255,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
115,5255,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
116,5255,"['정서적', '구체적', '계획적', '표현적', '경험적', '허용적', '체계적', '목표지향성']",1,0,0,2,EF
117,5270,"['표현적', '능동적', '열성적', '허용적', '구체적', '현실적', '논리적', '감성적']",3,0,1,2,EF
118,5270,"['표현적', '능동적', '열성적', '허용적', '구체적', '현실적', '논리적', '감성적']",3,0,1,2,EF
119,5270,"['표현적', '능동적', '열성적', '허용적', '구체적', '현실적', '논리적', '감성적']",3,0,1,2,EF
120,5278,"['정서적', '체계적', '현실적', '행동안정성', '표현적', '구체적', '경험적', '목표지향성']",1,0,0,1,EF
121,5278,"['정서적', '체계적', '현실적', '행동안정성', '표현적', '구체적', '경험적', '목표지향성']",1,0,0,1,EF
122,5278,"['정서적', '체계적', '현실적', '행동안정성', '표현적', '구체적', '경험적', '목표지향성']",1,0,0,1,EF
123,5299,"['열성적', '유연성', '능동적', '표현적', '경험적', '자발성', '구체적', '현실적']",3,0,0,0,err
124,5299,"['열성적', '유연성', '능동적', '표현적', '경험적', '자발성', '구체적', '현실적']",3,0,0,0,err
125,5299,"['열성적', '유연성', '능동적', '표현적', '경험적', '자발성', '구체적', '현실적']",3,0,0,0,err
126,5300,"['능동적', '경험적', '유연성', '표현적', '창의적', '비평적', '자발성', '논리적']",2,0,2,0,ET
127,5300,"['능동적', '경험적', '유연성', '표현적', '창의적', '비평적', '자발성', '논리적']",2,0,2,0,ET
128,5300,"['능동적', '경험적', '유연성', '표현적', '창의적', '비평적', '자발성', '논리적']",2,0,2,0,ET
129,5301,"['열성적', '목표지향성', '계획적', '구체적', '경험적', '정서적', '허용적', '체계적']",1,0,0,2,EF
130,5301,"['열성적', '목표지향성', '계획적', '구체적', '경험적', '정서적', '허용적', '체계적']",1,0,0,2,EF
131,5301,"['열성적', '목표지향성', '계획적', '구체적', '경험적', '정서적', '허용적', '체계적']",1,0,0,2,EF
132,5302,"['허용적', '열성적', '보유적', '경험적', '정서적', '체계적', '유연성', '개방성']",1,1,0,2,err
133,5302,"['허용적', '열성적', '보유적', '경험적', '정서적', '체계적', '유연성', '개방성']",1,1,0,2,err
134,5302,"['허용적', '열성적', '보유적', '경험적', '정서적', '체계적', '유연성', '개방성']",1,1,0,2,err
135,5303,"['열성적', '구체적', '경험적', '이성적', '계획적', '능동적', '현실적', '허용적']",2,0,1,1,err
136,5303,"['열성적', '구체적', '경험적', '이성적', '계획적', '능동적', '현실적', '허용적']",2,0,1,1,err
137,5303,"['열성적', '구체적', '경험적', '이성적', '계획적', '능동적', '현실적', '허용적']",2,0,1,1,err
138,5306,"['능동적', '구체적', '열성적', '체계적', '계획적', '창의적', '이상적', '논리적']",2,0,1,0,ET
139,5306,"['능동적', '구체적', '열성적', '체계적', '계획적', '창의적', '이상적', '논리적']",2,0,1,0,ET
140,5306,"['능동적', '구체적', '열성적', '체계적', '계획적', '창의적', '이상적', '논리적']",2,0,1,0,ET
141,5309,"['보유적', '정적', '행동안정성', '허용적', '구체적', '경험적', '정서적', '감성적']",0,2,0,3,IF
142,5309,"['보유적', '정적', '행동안정성', '허용적', '구체적', '경험적', '정서적', '감성적']",0,2,0,3,IF
143,5309,"['보유적', '정적', '행동안정성', '허용적', '구체적', '경험적', '정서적', '감성적']",0,2,0,3,IF
144,5310,"['계획적', '이성적', '구체적', '체계적', '허용적', '보유적', '논리적', '정서적']",0,1,2,2,err
145,5310,"['계획적', '이성적', '구체적', '체계적', '허용적', '보유적', '논리적', '정서적']",0,1,2,2,err
146,5310,"['계획적', '이성적', '구체적', '체계적', '허용적', '보유적', '논리적', '정서적']",0,1,2,2,err
147,5311,"['논리적', '현실적', '목표지향성', '구체적', '이성적', '계획적', '경험적', '체계적']",0,0,2,0,err
148,5311,"['논리적', '현실적', '목표지향성', '구체적', '이성적', '계획적', '경험적', '체계적']",0,0,2,0,err
149,5311,"['논리적', '현실적', '목표지향성', '구체적', '이성적', '계획적', '경험적', '체계적']",0,0,2,0,err
150,5312,"['창의적', '유연성', '추상적', '능동적', '열성적', '정서적', '개방성', '경험적']",2,0,0,1,EF
151,5312,"['창의적', '유연성', '추상적', '능동적', '열성적', '정서적', '개방성', '경험적']",2,0,0,1,EF
152,5312,"['창의적', '유연성', '추상적', '능동적', '열성적', '정서적', '개방성', '경험적']",2,0,0,1,EF
153,5313,"['경험적', '계획적', '열성적', '목표지향성', '능동적', '표현적', '현실적', '체계적']",3,0,0,0,err
154,5313,"['경험적', '계획적', '열성적', '목표지향성', '능동적', '표현적', '현실적', '체계적']",3,0,0,0,err
155,5313,"['경험적', '계획적', '열성적', '목표지향성', '능동적', '표현적', '현실적', '체계적']",3,0,0,0,err
156,5315,"['허용적', '정적', '경험적', '구체적', '현실적', '논리적', '목표지향성', '감성적']",0,1,1,2,IF
157,5315,"['허용적', '정적', '경험적', '구체적', '현실적', '논리적', '목표지향성', '감성적']",0,1,1,2,IF
158,5315,"['허용적', '정적', '경험적', '구체적', '현실적', '논리적', '목표지향성', '감성적']",0,1,1,2,IF
159,5316,"['능동적', '허용적', '열성적', '현실적', '경험적', '체계적', '목표지향성', '계획적']",2,0,0,1,EF
160,5316,"['능동적', '허용적', '열성적', '현실적', '경험적', '체계적', '목표지향성', '계획적']",2,0,0,1,EF
161,5316,"['능동적', '허용적', '열성적', '현실적', '경험적', '체계적', '목표지향성', '계획적']",2,0,0,1,EF
162,5319,"['능동적', '논리적', '이성적', '구체적', '목표지향성', '계획적', '허용적', '체계적']",1,0,2,1,ET
163,5319,"['능동적', '논리적', '이성적', '구체적', '목표지향성', '계획적', '허용적', '체계적']",1,0,2,1,ET
164,5319,"['능동적', '논리적', '이성적', '구체적', '목표지향성', '계획적', '허용적', '체계적']",1,0,2,1,ET
165,5344,"['현실적', '정서적', '허용적', '계획적', '표현적', '감성적', '능동적', '열성적']",3,0,0,3,EF
166,5344,"['현실적', '정서적', '허용적', '계획적', '표현적', '감성적', '능동적', '열성적']",3,0,0,3,EF
167,5344,"['현실적', '정서적', '허용적', '계획적', '표현적', '감성적', '능동적', '열성적']",3,0,0,3,EF
168,5345,"['구체적', '비평적', '정적', '계획적', '행동안정성', '경험적', '정서적', '허용적']",0,1,1,2,IF
169,5345,"['구체적', '비평적', '정적', '계획적', '행동안정성', '경험적', '정서적', '허용적']",0,1,1,2,IF
170,5345,"['구체적', '비평적', '정적', '계획적', '행동안정성', '경험적', '정서적', '허용적']",0,1,1,2,IF
171,5361,"['구체적', '계획적', '경험적', '현실적', '논리적', '이성적', '체계적', '능동적']",1,0,2,0,ET
172,5361,"['구체적', '계획적', '경험적', '현실적', '논리적', '이성적', '체계적', '능동적']",1,0,2,0,ET
173,5361,"['구체적', '계획적', '경험적', '현실적', '논리적', '이성적', '체계적', '능동적']",1,0,2,0,ET
174,5404,"['열성적', '표현적', '유연성', '감성적', '개방성', '자발성', '능동적', '허용적']",3,0,0,2,EF
175,5404,"['열성적', '표현적', '유연성', '감성적', '개방성', '자발성', '능동적', '허용적']",3,0,0,2,EF
176,5404,"['열성적', '표현적', '유연성', '감성적', '개방성', '자발성', '능동적', '허용적']",3,0,0,2,EF
177,5416,"['논리적', '계획적', '구체적', '목표지향성', '현실적', '체계적', '능동적', '정적']",1,1,1,0,err
178,5416,"['논리적', '계획적', '구체적', '목표지향성', '현실적', '체계적', '능동적', '정적']",1,1,1,0,err
179,5416,"['논리적', '계획적', '구체적', '목표지향성', '현실적', '체계적', '능동적', '정적']",1,1,1,0,err
