qzGroup,pass_video,fileUrl,emotion_fear,emotion_aversion,emotion_happy,emotion_sadness,emotion_angry,emotion_neutral,face_angle,shoulder_angle,left_shoulder,left_shoulder_move_count,right_shoulder,right_shoulder_move_count,center_shoulder,center_shoulder_left_move_count,center_shoulder_right_move_count,left_hand_time,left_hand_move_count,right_hand_time,right_hand_move_count,gaze_x_score,gaze_y_score,shoulder_vertical_score,shoulder_horizon_score,face_angle_score,gesture_score
13359,o,https://withmind.cache.smilecdn.com/vod/1610530835038_2_4804.mp4,0.01483,0.32574,0.00022,11.46836,0.5738,74.97961,1.24106,0.04786,"{""low_spot"": {""x"": 1, ""y"": 586}, ""high_spot"": {""x"": 5, ""y"": 544}}",1,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 234, ""y"": 586}, ""right_spot"": {""x"": 292, ""y"": 571}}",2,0,0,0,2.666666667,2,60,60,100,60,100,100
13359,o,https://withmind.cache.smilecdn.com/vod/1610530903302_3_4804.mp4,0.14576,3.08982,5.82796,10.03453,0.51239,79.09804,0.23,0.00554,"{""low_spot"": {""x"": 65, ""y"": 634}, ""high_spot"": {""x"": 58, ""y"": 573}}",2,"{""low_spot"": {""x"": 479, ""y"": 628}, ""high_spot"": {""x"": 479, ""y"": 628}}",7,"{""left_spot"": {""x"": 212, ""y"": 574}, ""right_spot"": {""x"": 343, ""y"": 635}}",0,0,16.16666667,3,5.833333333,2,60,20,100,40,100,100
13360,o,https://withmind.cache.smilecdn.com/vod/1610682846090_1_4808.mp4,8.00E-05,0.00783,0.03172,0.21388,1.00E-05,99.74557,3.49883,0.00849,"{""low_spot"": {""x"": 171, ""y"": 387}, ""high_spot"": {""x"": 175, ""y"": 374}}",0,"{""low_spot"": {""x"": 463, ""y"": 391}, ""high_spot"": {""x"": 463, ""y"": 374}}",3,"{""left_spot"": {""x"": 308, ""y"": 386}, ""right_spot"": {""x"": 322, ""y"": 375}}",0,0,0,0,0,0,60,60,100,80,80,100
13360,o,https://withmind.cache.smilecdn.com/vod/1610682914808_2_4808.mp4,0.00071,0.65836,0.00116,0.34823,0.00531,98.97601,2.04435,-0.03287,"{""low_spot"": {""x"": 157, ""y"": 396}, ""high_spot"": {""x"": 164, ""y"": 387}}",0,"{""low_spot"": {""x"": 449, ""y"": 385}, ""high_spot"": {""x"": 451, ""y"": 378}}",0,"{""left_spot"": {""x"": 301, ""y"": 388}, ""right_spot"": {""x"": 315, ""y"": 386}}",0,0,0,0,0,0,60,80,100,80,80,100
13360,o,https://withmind.cache.smilecdn.com/vod/1610682984230_3_4808.mp4,8.00E-05,0.19395,0.0015,0.03549,0.00131,99.76375,2.25823,-0.02639,"{""low_spot"": {""x"": 161, ""y"": 396}, ""high_spot"": {""x"": 168, ""y"": 388}}",0,"{""low_spot"": {""x"": 464, ""y"": 393}, ""high_spot"": {""x"": 457, ""y"": 379}}",1,"{""left_spot"": {""x"": 305, ""y"": 391}, ""right_spot"": {""x"": 317, ""y"": 390}}",0,0,0,0,0,0,80,60,100,80,80,100
13361,o,https://withmind.cache.smilecdn.com/vod/1611034293870_1_4771.mp4,0.56438,0.03879,3.00E-05,8.43223,0,85.73601,3.05607,0.01603,"{""low_spot"": {""x"": 105, ""y"": 431}, ""high_spot"": {""x"": 107, ""y"": 418}}",3,"{""low_spot"": {""x"": 466, ""y"": 439}, ""high_spot"": {""x"": 466, ""y"": 406}}",3,"{""left_spot"": {""x"": 279, ""y"": 431}, ""right_spot"": {""x"": 293, ""y"": 415}}",0,0,0,0,0,0,60,60,100,80,80,100
13361,o,https://withmind.cache.smilecdn.com/vod/1611034364104_2_4771.mp4,0.00168,0.34155,0.02643,4.881,1.00E-05,91.58248,4.66868,0.02301,"{""low_spot"": {""x"": 97, ""y"": 431}, ""high_spot"": {""x"": 116, ""y"": 416}}",1,"{""low_spot"": {""x"": 477, ""y"": 440}, ""high_spot"": {""x"": 463, ""y"": 418}}",2,"{""left_spot"": {""x"": 276, ""y"": 430}, ""right_spot"": {""x"": 301, ""y"": 428}}",0,0,0,0,0,0,80,80,100,60,80,100
13361,o,https://withmind.cache.smilecdn.com/vod/1611034456602_3_4771.mp4,2.22301,1.22027,0.64342,20.78345,1.00E-05,69.1777,4.65982,0.02671,"{""low_spot"": {""x"": 106, ""y"": 437}, ""high_spot"": {""x"": 137, ""y"": 407}}",1,"{""low_spot"": {""x"": 464, ""y"": 438}, ""high_spot"": {""x"": 469, ""y"": 418}}",2,"{""left_spot"": {""x"": 275, ""y"": 418}, ""right_spot"": {""x"": 303, ""y"": 431}}",1,0,0,0,0,0,60,60,100,60,80,100
13362,o,https://withmind.cache.smilecdn.com/vod/1610855130000_1_4788.mp4,0,0,9.00E-05,0.00038,0,99.99953,0.06451,0.0224,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
13362,o,https://withmind.cache.smilecdn.com/vod/1610855209635_2_4788.mp4,0,2.00E-05,0.00013,0.01096,1.00E-05,99.98888,-0.91949,0.0245,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
